Area,Production,Yield,Export Qty.,Export Value,Export Per/Kg Cost,Qt. Sold at Auction,Price/Kg At Auction
"4,25,966","7,52,895","1,768","1,50,691","98,91,469",65.64,"4,28,303",40.61
"4,27,065","7,56,016","1,770","1,67,996","1,20,80,156",71.91,"4,28,368",47.99
"4,31,204","7,80,140","1,809","1,61,696","1,24,68,719",77.11,"4,43,116",48.77
"4,34,294","8,10,031","1,865","2,02,995","1,77,47,781",87.43,"4,59,026",66.89
"4,74,027","8,74,108","1,844","2,10,338","2,30,94,360",109.80,"4,42,359",76.43
"4,90,200","8,25,935","1,685","1,91,719","1,96,58,684",102.54,"4,80,768",72.79
"5,04,366","8,46,922","1,679","2,06,816","1,89,86,119",91.80,"5,07,527",61.71
"5,09,806","8,53,923","1,675","1,82,588","1,68,21,115",92.13,"4,63,688",61.66
"5,15,832","8,38,474","1,625","2,01,002","1,75,33,989",87.23,"4,56,549",55.96
"5,19,598","8,78,129","1,690","1,73,684","1,59,02,128",91.56,"4,77,771",56.03
"5,21,403","8,92,965","1,713","1,97,668","1,84,11,416",93.14,"4,74,354",64.54
"5,55,611","9,45,974","1,703","1,99,050","1,83,09,786",91.99,"5,10,234",58.05
"5,67,020","9,81,805","1,732","2,18,737","2,00,65,260",91.73,"4,99,072",66.01
"5,78,458","9,86,427","1,705","1,78,754","1,81,01,095",101.26,"5,14,404",67.27
"5,79,353","9,80,818","1,693","2,03,117","2,39,29,136",117.81,"5,30,020",87.78
"5,79,353","9,79,000","1,689","1,97,903","2,78,58,465",140.77,"5,01,479",106.70
"5,79,353","9,66,400","1,668","2,22,019","3,05,83,081",137.75,"5,12,301",106.32
"5,79,353","11,15,720","1,925","2,15,410","3,29,18,700",152.82,"5,34,310",106.07
"5,63,979","11,26,330","1,997","2,08,230","3,75,07,600",180.12,"5,48,017",125.25
"5,63,979","12,00,040","2,127","2,19,060","4,35,52,300",198.81,"5,72,683",132.23
"5,63,979","12,07,310","2,141","2,07,440","4,05,40,200",195.43,"5,68,751",130.91
"5,66,660","12,08,660","2,133","2,28,660","4,35,53,200",190.47,"5,89,725",128.60
"5,66,660","12,67,360","2,236","2,22,450","4,46,81,100",200.86,"5,42,126",135.93
"5,66,660","13,21,760","2,332","2,51,910","4,98,75,900",197.99,"6,23,720",134.81
"6,36,560","13,38,630","2,102","2,56,060","5,33,53,300",208.36,"6,20,472",140.81
"6,36,560","13,90,080","2,184","2,52,150","5,73,76,600",227.55,"6,19,639",142.15
"6,36,560","12,57,530","1,975","2,09,720","5,23,52,900",249.63,"5,96,929",190.96
"6,36,557","13,43,060","2,109","1,96,540","5,31,11,500",270.23,"6,37,100",173.64
